Date,Open,High,Low,Close,Adj. Close,Change,Volume
27-Dec-24,96.79,96.89,96.61,96.64,96.64,-0.21%,"8,601,525"
26-Dec-24,96.52,96.88,96.51,96.84,96.84,0.07%,"10,620,327"
24-Dec-24,96.5,96.78,96.47,96.77,96.77,0.11%,"4,739,264"
23-Dec-24,96.95,96.97,96.6,96.66,96.66,-0.31%,"10,540,780"
20-Dec-24,97.05,97.22,96.94,96.96,96.96,0.27%,"8,657,695"
19-Dec-24,96.76,96.82,96.51,96.7,96.7,-0.26%,"15,490,128"
18-Dec-24,97.66,97.8,96.9,96.95,96.95,-1.08%,"14,261,483"
17-Dec-24,98,98.13,97.95,98.01,97.69,-,"7,239,282"
16-Dec-24,98.07,98.1,97.88,98.01,97.69,0.09%,"7,124,119"
13-Dec-24,98.2,98.23,97.87,97.92,97.6,-0.38%,"6,566,351"
12-Dec-24,98.53,98.58,98.25,98.29,97.97,-0.41%,"12,353,324"
11-Dec-24,99.08,99.16,98.66,98.69,98.37,-0.23%,"8,095,829"
10-Dec-24,98.87,98.99,98.8,98.92,98.6,-0.12%,"5,984,610"
9-Dec-24,99.2,99.22,99.03,99.04,98.72,-0.29%,"10,689,040"
6-Dec-24,99.4,99.44,99.14,99.33,99.01,0.28%,"12,890,676"
5-Dec-24,98.96,99.11,98.85,99.05,98.73,0.02%,"8,787,117"
4-Dec-24,98.52,99.09,98.48,99.03,98.71,0.32%,"7,448,899"
3-Dec-24,98.97,99.06,98.67,98.71,98.39,-0.19%,"6,889,766"
2-Dec-24,99.39,99.6,98.58,98.9,98.58,-0.30%,"18,397,837"
29-Nov-24,99.15,99.22,99.08,99.2,98.57,0.39%,"9,623,115"
27-Nov-24,98.8,98.93,98.65,98.81,98.18,0.27%,"8,749,917"
26-Nov-24,98.49,98.54,98.3,98.54,97.91,-0.15%,"11,303,243"
25-Nov-24,98.53,98.7,98.43,98.69,98.06,0.90%,"9,246,256"
22-Nov-24,97.87,97.92,97.72,97.81,97.19,0.07%,"4,989,634"
21-Nov-24,97.85,98.01,97.67,97.74,97.12,-0.05%,"6,348,553"
20-Nov-24,97.69,97.93,97.67,97.79,97.17,-0.10%,"5,551,154"
19-Nov-24,97.95,98.05,97.87,97.89,97.27,0.14%,"4,735,960"
18-Nov-24,97.55,97.82,97.47,97.75,97.13,0.09%,"5,260,760"
15-Nov-24,97.44,97.88,97.26,97.66,97.04,0.01%,"11,844,293"
14-Nov-24,97.85,97.99,97.57,97.65,97.03,-0.04%,"7,312,304"
13-Nov-24,98.17,98.2,97.57,97.69,97.07,-0.02%,"15,834,914"
12-Nov-24,97.98,98.14,97.65,97.71,97.09,-0.58%,"16,775,682"
11-Nov-24,98.3,98.33,98.16,98.28,97.65,-0.22%,"4,501,340"
8-Nov-24,98.48,98.72,98.38,98.5,97.87,0.17%,"6,199,838"
7-Nov-24,97.96,98.54,97.9,98.33,97.7,0.76%,"17,402,306"
6-Nov-24,97.43,97.82,97.36,97.59,96.97,-0.78%,"9,158,058"
5-Nov-24,98.09,98.39,97.86,98.36,97.73,0.23%,"6,663,038"
4-Nov-24,98.25,98.38,97.95,98.13,97.5,0.42%,"6,630,091"
1-Nov-24,98.29,98.38,97.68,97.72,97.1,-0.71%,"10,387,261"
31-Oct-24,98.32,98.58,98.15,98.42,97.48,-0.02%,"12,754,774"
30-Oct-24,98.75,98.94,98.4,98.44,97.5,-0.10%,"11,188,376"
29-Oct-24,98.12,98.56,98.09,98.54,97.6,0.11%,"5,421,716"
28-Oct-24,98.64,98.65,98.3,98.43,97.49,-0.16%,"7,363,142"
25-Oct-24,98.97,98.99,98.54,98.59,97.65,-0.20%,"9,028,548"
24-Oct-24,98.68,98.95,98.6,98.79,97.85,0.19%,"7,559,385"
23-Oct-24,98.57,98.76,98.48,98.6,97.66,-0.25%,"19,660,142"
22-Oct-24,98.93,99.01,98.77,98.85,97.91,0.02%,"11,401,906"
21-Oct-24,99.18,99.21,98.83,98.83,97.89,-0.69%,"6,874,029"
18-Oct-24,99.63,99.68,99.5,99.52,98.57,0.07%,"4,973,029"
17-Oct-24,99.6,99.66,99.42,99.45,98.5,-0.49%,"5,306,334"
16-Oct-24,99.96,100.04,99.87,99.94,98.99,0.13%,"4,741,263"
15-Oct-24,99.74,99.84,99.68,99.81,98.86,0.40%,"7,158,682"
14-Oct-24,99.2,99.42,99.17,99.41,98.46,-0.09%,"3,512,569"
11-Oct-24,99.41,99.62,99.36,99.5,98.55,0.03%,"4,878,672"
10-Oct-24,99.45,99.55,99.23,99.47,98.52,-0.06%,"5,757,678"
9-Oct-24,99.64,99.67,99.47,99.53,98.58,-0.26%,"8,218,472"
8-Oct-24,99.52,99.79,99.49,99.79,98.84,0.17%,"7,340,131"
7-Oct-24,99.64,99.77,99.58,99.62,98.67,-0.34%,"6,382,168"
4-Oct-24,100.1,100.14,99.89,99.96,99.01,-0.65%,"9,641,064"
3-Oct-24,100.85,100.89,100.59,100.61,99.65,-0.41%,"8,751,191"
2-Oct-24,100.88,101.11,100.81,101.02,100.06,-0.21%,"11,700,908"
1-Oct-24,101.27,101.45,101.15,101.23,100.27,-0.04%,"8,811,488"
30-Sep-24,101.44,101.48,101.14,101.27,100,-0.23%,"9,105,421"
27-Sep-24,101.41,101.56,101.33,101.5,100.23,0.29%,"5,033,279"
26-Sep-24,101.32,101.35,101,101.21,99.94,0.02%,"8,124,446"
25-Sep-24,101.42,101.43,101.19,101.19,99.92,-0.38%,"9,259,117"
24-Sep-24,101.27,101.62,101.22,101.58,100.31,0.14%,"5,803,587"
23-Sep-24,101.34,101.59,101.19,101.44,100.17,-0.04%,"8,428,058"
20-Sep-24,101.43,101.65,101.32,101.48,100.21,-0.09%,"8,464,907"
19-Sep-24,101.41,101.61,101.37,101.57,100.3,0.01%,"5,079,896"
18-Sep-24,101.68,102.03,101.53,101.56,100.29,-0.31%,"6,280,106"
17-Sep-24,101.99,102.03,101.83,101.88,100.6,-0.10%,"9,256,001"
16-Sep-24,101.83,102.04,101.75,101.98,100.7,0.24%,"8,425,911"
13-Sep-24,101.76,101.82,101.62,101.74,100.47,0.21%,"5,330,629"
12-Sep-24,101.56,101.65,101.38,101.53,100.26,-0.09%,"6,419,517"
11-Sep-24,101.51,101.85,101.46,101.62,100.35,-0.03%,"4,184,407"
10-Sep-24,101.34,101.7,101.31,101.65,100.38,0.31%,"5,979,509"
9-Sep-24,101.15,101.43,101.05,101.34,100.07,0.15%,"7,569,256"
6-Sep-24,101.13,101.6,100.97,101.19,99.92,0.13%,"8,830,177"
5-Sep-24,101.02,101.12,100.75,101.06,99.79,0.26%,"11,921,947"
4-Sep-24,100.43,100.85,100.4,100.8,99.54,0.44%,"10,649,923"
3-Sep-24,100.32,100.53,100.23,100.36,99.1,0.11%,"6,837,399"
30-Aug-24,100.51,100.64,100.22,100.25,98.69,-0.24%,"7,213,235"
29-Aug-24,100.45,100.55,100.35,100.49,98.92,-0.13%,"6,912,660"
28-Aug-24,100.71,100.77,100.6,100.62,99.05,-0.09%,"6,960,499"
27-Aug-24,100.48,100.74,100.43,100.71,99.14,0.03%,"7,965,500"
26-Aug-24,100.92,100.92,100.66,100.68,99.11,-0.09%,"6,653,194"
23-Aug-24,100.52,100.81,100.43,100.77,99.2,0.46%,"6,179,548"
22-Aug-24,100.54,100.57,100.23,100.31,98.75,-0.41%,"7,893,691"
21-Aug-24,100.61,100.9,100.43,100.72,99.15,0.19%,"6,366,682"
20-Aug-24,100.41,100.56,100.33,100.53,98.96,0.30%,"5,516,765"
19-Aug-24,100.07,100.34,100.04,100.23,98.67,0.11%,"4,690,310"
16-Aug-24,100.03,100.12,99.85,100.12,98.56,0.24%,"6,507,875"
15-Aug-24,99.7,99.9,99.65,99.88,98.32,-0.42%,"8,628,478"
14-Aug-24,100.15,100.4,100.14,100.3,98.74,0.18%,"9,871,619"
13-Aug-24,100.04,100.12,99.93,100.12,98.56,0.40%,"3,925,473"
12-Aug-24,99.47,99.78,99.41,99.72,98.17,0.17%,"7,300,711"
9-Aug-24,99.64,99.7,99.48,99.55,98,0.35%,"3,879,241"
8-Aug-24,99.11,99.28,99.07,99.2,97.65,-0.15%,"5,558,079"
7-Aug-24,99.51,99.61,99.24,99.35,97.8,-0.30%,"8,085,207"
6-Aug-24,100.14,100.16,99.63,99.65,98.1,-0.60%,"10,945,179"
5-Aug-24,100.82,100.89,100.02,100.25,98.69,-0.08%,"12,066,084"
2-Aug-24,99.88,100.37,99.8,100.33,98.77,1.12%,"9,397,607"
1-Aug-24,99.01,99.32,99.01,99.22,97.67,0.11%,"9,642,741"
31-Jul-24,98.81,99.12,98.65,99.11,97.27,0.54%,"11,725,122"
30-Jul-24,98.52,98.64,98.38,98.58,96.75,0.10%,"5,845,841"
29-Jul-24,98.54,98.54,98.37,98.48,96.65,0.16%,"6,822,624"
26-Jul-24,98.29,98.36,98.18,98.32,96.49,0.36%,"4,243,795"
