Date,Open,High,Low,Close,Adj. Close,Change,Volume
27-Dec-24,600.37,600.57,593.61,597.53,597.53,-1.08%,"6,926,696"
26-Dec-24,602.33,605.34,601,604.07,604.07,-0.05%,"10,376,958"
24-Dec-24,598.89,604.36,598.31,604.36,604.36,1.12%,"2,365,681"
23-Dec-24,593.68,598.14,590.48,597.64,597.64,0.73%,"16,542,268"
20-Dec-24,584.53,598.57,583.67,593.33,593.33,1.11%,"16,783,264"
19-Dec-24,592.26,593.8,586.73,586.83,586.83,-0.07%,"19,020,743"
18-Dec-24,604.86,607.31,586.69,587.26,587.26,-2.94%,"33,342,531"
17-Dec-24,605.07,606.05,603.76,605.05,605.05,-0.78%,"20,235,933"
16-Dec-24,609.01,610.84,608.3,609.83,607.69,0.43%,"23,494,311"
13-Dec-24,609.44,610.15,605.83,607.24,605.11,-0.02%,"9,729,091"
12-Dec-24,609.63,610.17,607.35,607.35,605.22,-0.53%,"5,830,787"
11-Dec-24,608.8,611.48,608.51,610.59,608.44,0.77%,"4,892,064"
10-Dec-24,608.39,608.72,605.16,605.92,603.79,-0.29%,"4,489,053"
9-Dec-24,610.75,610.85,607.09,607.68,605.54,-0.52%,"2,973,765"
6-Dec-24,610.47,612.09,610.05,610.83,608.68,0.18%,"4,985,992"
5-Dec-24,610.65,611.54,609.41,609.73,607.59,-0.16%,"3,118,962"
4-Dec-24,608.68,610.92,608,610.7,608.55,0.62%,"7,524,469"
3-Dec-24,606.41,607.22,605.38,606.96,604.83,0.04%,"4,839,869"
2-Dec-24,605.97,607.3,605.48,606.71,604.58,0.27%,"6,048,750"
29-Nov-24,602.63,606.32,602.38,605.07,602.94,0.54%,"3,130,980"
27-Nov-24,603.47,603.79,600.26,601.82,599.71,-0.32%,"4,669,369"
26-Nov-24,601.75,604.28,601.03,603.76,601.64,0.59%,"4,413,249"
25-Nov-24,602.47,603.77,598.15,600.22,598.11,0.30%,"4,637,907"
22-Nov-24,596.64,599.08,596.15,598.45,596.35,0.33%,"3,302,826"
21-Nov-24,596.36,598.02,590.32,596.48,594.38,0.51%,"4,175,410"
20-Nov-24,593.23,593.67,587.5,593.44,591.35,0.05%,"4,696,858"
19-Nov-24,587.63,593.96,586.99,593.17,591.09,0.35%,"3,747,691"
18-Nov-24,589.09,592.38,588.21,591.11,589.03,0.42%,"5,778,266"
15-Nov-24,592.62,593.06,586.75,588.66,586.59,-1.27%,"5,426,600"
14-Nov-24,600.26,600.75,595.63,596.23,594.13,-0.66%,"2,687,703"
13-Nov-24,600.29,602.16,597.93,600.2,598.09,0.08%,"3,593,040"
12-Nov-24,601.62,602.22,597.35,599.75,597.64,-0.31%,"6,450,048"
11-Nov-24,602.8,603.09,599.95,601.59,599.48,0.08%,"3,995,596"
8-Nov-24,599.12,602.56,599.12,601.13,599.02,0.44%,"5,485,657"
7-Nov-24,596.01,599.54,595.92,598.51,596.41,0.78%,"3,892,773"
6-Nov-24,592.08,594.8,588.3,593.88,591.79,2.48%,"5,260,463"
5-Nov-24,573.57,579.53,573.36,579.49,577.45,1.21%,"2,988,684"
4-Nov-24,573.94,575.26,570.64,572.57,570.56,-0.20%,"3,495,954"
1-Nov-24,574.03,578.31,573.39,573.72,571.7,0.43%,"3,188,843"
31-Oct-24,578.34,578.42,571.18,571.24,569.23,-1.96%,"8,318,741"
30-Oct-24,584.11,586.14,582.16,582.67,580.62,-0.32%,"3,831,039"
29-Oct-24,582.67,585.71,581.27,584.55,582.5,0.15%,"3,912,738"
28-Oct-24,585.41,585.44,583.36,583.65,581.6,0.30%,"3,635,622"
25-Oct-24,584.38,587.3,580.91,581.9,579.86,-0.02%,"3,781,949"
24-Oct-24,582.83,582.83,579.41,582.03,579.98,0.21%,"4,080,552"
23-Oct-24,584.03,584.48,577.23,580.79,578.75,-0.91%,"2,912,008"
22-Oct-24,583.86,587.29,583.29,586.13,584.07,-0.08%,"2,640,935"
21-Oct-24,586.67,587.68,583.44,586.59,584.53,-0.15%,"3,512,823"
18-Oct-24,586.9,588.22,585.45,587.46,585.4,0.38%,"4,120,417"
17-Oct-24,588.79,588.93,584.98,585.25,583.19,0.03%,"2,730,986"
16-Oct-24,582.59,585.64,581.77,585.08,583.02,0.44%,"1,842,520"
15-Oct-24,587.46,587.67,581.41,582.49,580.44,-0.79%,"3,872,018"
14-Oct-24,584.03,588.05,583.68,587.15,585.09,0.82%,"1,679,322"
11-Oct-24,578.82,583.09,578.72,582.35,580.3,0.61%,"2,591,668"
10-Oct-24,578.53,580.33,577.27,578.83,576.8,-0.18%,"2,197,643"
9-Oct-24,575.94,580.47,575.33,579.85,577.81,0.68%,"2,048,778"
8-Oct-24,573.11,576.5,572.26,575.94,573.92,0.95%,"2,307,895"
7-Oct-24,574.03,574.58,569.33,570.53,568.53,-0.90%,"2,664,335"
4-Oct-24,575.13,576.12,570.92,575.69,573.67,0.91%,"2,433,951"
3-Oct-24,570.13,572.52,568.23,570.51,568.51,-0.19%,"2,553,757"
2-Oct-24,570.45,572.62,567.97,571.6,569.59,0.04%,"4,400,382"
1-Oct-24,576.14,576.21,568.76,571.37,569.36,-0.94%,"5,475,724"
30-Sep-24,573.19,577.19,570.88,576.82,574.79,0.48%,"6,099,469"
27-Sep-24,576.15,576.92,573.15,574.07,572.05,-0.18%,"7,128,850"
26-Sep-24,577.19,577.47,572.63,575.11,573.09,0.43%,"8,915,337"
25-Sep-24,573.88,574.65,571.69,572.66,570.65,-0.62%,"31,448,293"
24-Sep-24,575.45,576.35,572.61,576.25,571.99,0.29%,"7,325,965"
23-Sep-24,574.31,575.28,573.07,574.58,570.34,0.28%,"31,440,711"
20-Sep-24,572.78,574.21,570.11,572.99,568.76,-0.21%,"8,763,753"
19-Sep-24,574.22,576.1,571.32,574.19,569.95,1.71%,"3,623,524"
18-Sep-24,566.89,571.84,563.95,564.51,560.34,-0.30%,"5,198,332"
17-Sep-24,568.26,569.69,563.97,566.2,562.02,0.04%,"3,725,772"
16-Sep-24,564.87,566.26,563.03,565.99,561.81,0.17%,"2,453,760"
13-Sep-24,562.78,566.16,562.56,565.05,560.88,0.51%,"3,953,042"
12-Sep-24,558.04,562.44,555.86,562.17,558.02,0.85%,"3,481,123"
11-Sep-24,551.7,558.41,542.91,557.45,553.33,1.08%,"4,691,965"
10-Sep-24,551.39,552.16,546.42,551.5,547.43,0.37%,"5,964,584"
9-Sep-24,547.65,550.7,545.68,549.47,545.41,1.12%,"4,313,027"
6-Sep-24,552.94,554.56,542.41,543.37,539.36,-1.66%,"3,525,736"
5-Sep-24,553.94,556.77,550.11,552.56,548.48,-0.28%,"6,823,974"
4-Sep-24,553.25,557.43,552.49,554.1,550.01,-0.21%,"3,925,713"
3-Sep-24,563.53,563.87,552.55,555.26,551.16,-2.03%,"7,817,821"
30-Aug-24,563.88,567.33,560.22,566.75,562.56,0.94%,"3,016,147"
29-Aug-24,563.39,566.79,560.27,561.45,557.3,0.02%,"2,504,524"
28-Aug-24,564.28,564.76,558.08,561.36,557.21,-0.58%,"2,890,610"
27-Aug-24,562.57,565.14,561.47,564.66,560.49,0.18%,"2,258,056"
26-Aug-24,566.3,567.02,562.15,563.63,559.47,-0.28%,"5,861,543"
23-Aug-24,562.64,566.2,560.36,565.23,561.05,1.08%,"2,450,111"
22-Aug-24,565.67,566.29,558.05,559.19,555.06,-0.85%,"3,448,272"
21-Aug-24,562.83,565.18,561.07,563.96,559.79,0.39%,"4,434,003"
20-Aug-24,562.22,563.93,560.39,561.77,557.62,-0.15%,"2,874,786"
