Date,Open,High,Low,Close,Adj. Close,Change,Volume
27-Dec-24,526.01,526.45,517.86,522.56,522.56,-1.33%,"33,839,555"
26-Dec-24,528.32,531.24,526.31,529.6,529.6,-0.07%,"19,141,494"
24-Dec-24,524.83,530.05,524.19,529.96,529.96,1.36%,"17,558,215"
23-Dec-24,519.55,523.25,516.13,522.87,522.87,0.81%,"29,672,800"
20-Dec-24,510.44,524.82,509.29,518.66,517.83,0.87%,"60,529,961"
19-Dec-24,521.19,521.76,513.83,514.17,513.35,-0.45%,"46,441,754"
18-Dec-24,535.15,536.88,515.01,516.47,515.65,-3.61%,"54,703,155"
17-Dec-24,536.36,537.48,534.13,535.8,534.95,-0.44%,"28,579,070"
16-Dec-24,533.08,539.15,533,538.17,537.31,1.44%,"31,979,863"
13-Dec-24,530.46,533.17,527.3,530.53,529.68,0.77%,"28,780,405"
12-Dec-24,527.68,528.96,526.02,526.5,525.66,-0.65%,"23,577,504"
11-Dec-24,525,530.61,524.59,529.92,529.08,1.79%,"32,168,579"
10-Dec-24,523.62,525.38,519.16,520.6,519.77,-0.34%,"24,350,040"
9-Dec-24,525.55,526.35,521.22,522.38,521.55,-0.78%,"20,674,405"
6-Dec-24,522.48,526.72,522.35,526.48,525.64,0.89%,"23,762,611"
5-Dec-24,523.31,524.04,521.42,521.81,520.98,-0.28%,"18,169,632"
4-Dec-24,520.32,523.52,519.6,523.26,522.43,1.24%,"26,086,222"
3-Dec-24,513.95,517.15,513.37,516.87,516.05,0.31%,"18,597,900"
2-Dec-24,511.01,516.26,510.62,515.29,514.47,1.09%,"25,147,165"
29-Nov-24,505.93,510.34,505.31,509.74,508.93,0.88%,"15,333,968"
27-Nov-24,508.17,508.24,501.93,505.3,504.5,-0.79%,"24,957,441"
26-Nov-24,508.08,510.14,507.23,509.31,508.5,0.54%,"26,557,061"
25-Nov-24,509.9,511.45,504.26,506.59,505.78,0.16%,"26,375,166"
22-Nov-24,504.42,506.53,502.78,505.79,504.98,0.16%,"23,826,644"
21-Nov-24,506.24,506.96,497.56,504.98,504.18,0.36%,"34,526,738"
20-Nov-24,503.16,503.48,496.56,503.17,502.37,-0.06%,"29,565,491"
19-Nov-24,497.42,503.95,497.08,503.46,502.66,0.69%,"24,523,020"
18-Nov-24,498.13,502.14,496.73,500.02,499.22,0.69%,"27,192,662"
15-Nov-24,502.94,503.33,494.49,496.57,495.78,-2.38%,"51,461,054"
14-Nov-24,511.91,512.79,507.77,508.69,507.88,-0.69%,"28,679,519"
13-Nov-24,512.4,514.98,509.95,512.25,511.43,-0.13%,"24,567,416"
12-Nov-24,513.77,514.66,509.83,512.91,512.09,-0.18%,"25,835,288"
11-Nov-24,515.37,515.58,510.92,513.84,513.02,-0.06%,"24,167,479"
8-Nov-24,513.04,514.92,512.41,514.14,513.32,0.12%,"22,924,483"
7-Nov-24,508.4,514.33,508.34,513.54,512.72,1.57%,"32,853,120"
