Date,Open,High,Low,Close,Adj. Close,Change,Volume
27-Dec-24,177,177.99,175.79,176.69,176.69,-0.68%,"5,401,885"
26-Dec-24,176.95,178.15,176.81,177.9,177.9,0.16%,"3,493,576"
24-Dec-24,176.37,177.7,176.04,177.61,177.61,0.75%,"2,266,474"
23-Dec-24,175.4,176.44,174.71,176.28,176.28,-0.22%,"8,102,441"
20-Dec-24,173.96,177.77,173.69,176.66,176.04,1.40%,"10,861,686"
19-Dec-24,175.7,176.61,174.18,174.22,173.61,-0.33%,"10,245,196"
18-Dec-24,180.36,180.57,174.66,174.8,174.19,-2.96%,"11,216,724"
17-Dec-24,180.91,181.31,179.85,180.13,179.5,-0.79%,"7,334,466"
16-Dec-24,182.19,182.83,181.39,181.56,180.92,-0.33%,"5,199,800"
13-Dec-24,182.8,183.01,181.82,182.16,181.52,-0.35%,"5,418,460"
12-Dec-24,183.44,183.64,182.8,182.8,182.16,-0.37%,"3,648,769"
11-Dec-24,184.12,184.18,183.28,183.47,182.83,0.09%,"6,041,835"
10-Dec-24,184.46,184.46,182.79,183.3,182.66,-0.61%,"6,296,396"
9-Dec-24,185.71,185.87,184.39,184.43,183.78,-0.41%,"5,121,116"
6-Dec-24,186.05,186.41,185.05,185.19,184.54,-0.11%,"4,527,360"
5-Dec-24,186.32,186.48,185.34,185.4,184.75,-0.50%,"6,060,170"
4-Dec-24,186.57,186.61,185.6,186.33,185.68,0.01%,"6,576,714"
3-Dec-24,187.15,187.39,186.12,186.32,185.67,-0.44%,"8,580,295"
2-Dec-24,187.7,187.87,186.47,187.15,186.49,-0.25%,"7,664,287"
29-Nov-24,187.46,188.16,187.34,187.62,186.96,0.30%,"3,752,038"
27-Nov-24,187.51,188.09,186.89,187.05,186.4,-0.10%,"4,802,050"
26-Nov-24,187.26,187.39,186.31,187.23,186.57,0.01%,"5,590,611"
25-Nov-24,187.16,187.99,186.77,187.21,186.55,0.91%,"8,582,497"
22-Nov-24,184.52,185.79,184.49,185.53,184.88,0.79%,"6,371,283"
21-Nov-24,182.4,184.41,181.74,184.08,183.44,1.26%,"5,642,623"
20-Nov-24,181.31,181.87,180.34,181.79,181.15,0.34%,"4,496,664"
19-Nov-24,180.11,181.57,179.65,181.18,180.55,-0.27%,"5,787,695"
18-Nov-24,181.11,182.06,180.87,181.67,181.03,0.40%,"3,727,337"
15-Nov-24,181.9,182.33,180.65,180.94,180.31,-0.71%,"5,450,463"
14-Nov-24,183.79,183.99,182.12,182.24,181.6,-0.80%,"7,379,453"
13-Nov-24,183.94,184.54,183.45,183.71,183.07,0.05%,"9,745,618"
12-Nov-24,184.74,184.89,183.03,183.61,182.97,-0.76%,"5,098,521"
11-Nov-24,184.82,185.79,184.73,185.02,184.37,0.50%,"6,861,824"
8-Nov-24,183.29,184.47,183.04,184.1,183.46,0.56%,"7,541,722"
7-Nov-24,183.39,183.55,182.62,183.08,182.44,0.10%,"8,401,974"
6-Nov-24,183.34,183.38,181.3,182.9,182.26,2.37%,"12,965,870"
5-Nov-24,176.68,178.73,176.21,178.67,178.04,1.17%,"4,550,685"
4-Nov-24,176.59,177.59,176.07,176.61,175.99,0.12%,"3,954,156"
1-Nov-24,176.94,177.96,176.25,176.4,175.78,0.06%,"4,247,007"
31-Oct-24,177.73,178,176.25,176.29,175.67,-1.07%,"6,143,733"
30-Oct-24,177.94,179.35,177.94,178.19,177.57,-0.22%,"5,630,186"
29-Oct-24,178.55,179.21,178.05,178.58,177.95,-0.30%,"5,505,389"
28-Oct-24,178.85,179.6,178.76,179.12,178.49,0.57%,"3,040,114"
25-Oct-24,179.94,180.15,177.97,178.11,177.49,-0.47%,"4,555,176"
24-Oct-24,179.47,179.67,178.53,178.96,178.33,0.02%,"4,361,922"
23-Oct-24,178.99,179.49,177.93,178.92,178.29,-0.33%,"4,665,706"
22-Oct-24,179.6,179.8,178.73,179.51,178.88,-0.45%,"3,730,657"
21-Oct-24,181.59,181.85,179.93,180.32,179.69,-0.85%,"3,998,739"
18-Oct-24,181.86,182.01,180.91,181.87,181.23,0.30%,"3,275,690"
17-Oct-24,182.12,182.15,181.13,181.33,180.7,-0.16%,"3,595,387"
16-Oct-24,180.85,181.87,180.71,181.62,180.98,0.68%,"4,840,181"
15-Oct-24,181.26,182.22,180.29,180.4,179.77,-0.45%,"5,152,182"
14-Oct-24,180.01,181.34,179.59,181.22,180.59,0.73%,"3,221,119"
11-Oct-24,178.48,180.14,178.39,179.9,179.27,0.98%,"4,033,865"
10-Oct-24,178.47,178.67,177.75,178.15,177.53,-0.37%,"3,171,940"
9-Oct-24,177.64,179.05,177.33,178.82,178.19,0.69%,"3,925,418"
8-Oct-24,177.37,177.8,176.74,177.6,176.98,0.24%,"3,845,911"
7-Oct-24,178.02,178.02,176.42,177.18,176.56,-0.78%,"4,207,454"
4-Oct-24,178.67,178.68,177.31,178.57,177.94,0.78%,"5,401,269"
3-Oct-24,177.45,177.69,176.57,177.18,176.56,-0.47%,"5,362,033"
2-Oct-24,177.73,178.45,177.22,178.02,177.4,-0.11%,"4,117,078"
1-Oct-24,178.95,179.17,177.27,178.21,177.59,-0.53%,"8,274,222"
30-Sep-24,178.77,179.35,177.6,179.16,178.53,0.13%,"5,069,026"
27-Sep-24,179.02,179.94,178.65,178.93,178.3,0.36%,"5,693,775"
26-Sep-24,178.11,178.81,177.75,178.29,177.67,0.84%,"6,061,490"
25-Sep-24,178.1,178.26,176.54,176.81,176.19,-0.62%,"4,614,934"
24-Sep-24,178.04,178.23,177.54,177.91,177.29,0.15%,"6,316,291"
23-Sep-24,177.25,177.72,176.91,177.65,177.03,0.12%,"5,866,468"
20-Sep-24,177.58,177.58,176.61,177.44,176.13,-0.36%,"5,392,127"
19-Sep-24,178.55,178.83,177.38,178.09,176.78,1.07%,"7,678,168"
18-Sep-24,176.89,178.4,175.95,176.21,174.91,-0.19%,"9,390,046"
17-Sep-24,176.68,177.6,176.04,176.54,175.24,0.15%,"5,489,333"
16-Sep-24,175.63,176.59,175.38,176.28,174.98,0.73%,"4,845,229"
13-Sep-24,174.01,175.34,173.89,175.01,173.72,0.96%,"5,248,090"
12-Sep-24,172.31,173.46,171.45,173.35,172.07,0.62%,"5,460,343"
11-Sep-24,171.6,172.49,168.79,172.28,171.01,0.05%,"7,108,080"
10-Sep-24,172.46,172.61,170.92,172.2,170.93,0.06%,"4,357,009"
9-Sep-24,171.51,172.97,171.2,172.1,170.83,0.97%,"6,402,303"
6-Sep-24,172.52,173.33,170.22,170.45,169.19,-1.07%,"9,197,188"
5-Sep-24,173.61,173.74,171.61,172.3,171.03,-0.61%,"6,015,500"
4-Sep-24,173.44,174.4,172.86,173.36,172.08,-0.14%,"10,014,262"
3-Sep-24,175,175.4,172.91,173.61,172.33,-1.29%,"6,616,317"
30-Aug-24,175.08,175.96,173.92,175.87,174.57,0.77%,"4,635,830"
29-Aug-24,174.5,175.58,173.5,174.52,173.23,0.37%,"5,095,059"
28-Aug-24,174.1,174.62,173.06,173.87,172.59,-0.28%,"3,964,579"
27-Aug-24,173.91,174.41,173.7,174.35,173.06,0.05%,"3,560,437"
26-Aug-24,174.97,175.39,174.07,174.27,172.98,-0.02%,"7,487,575"
23-Aug-24,173,174.52,172.66,174.3,173.01,1.27%,"6,000,325"
22-Aug-24,173,173.21,171.8,172.11,170.84,-0.28%,"3,817,172"
21-Aug-24,172.09,172.76,171.66,172.6,171.33,0.70%,"4,595,018"
20-Aug-24,171.91,172.19,171.17,171.4,170.13,-0.40%,"5,054,905"
19-Aug-24,170.93,172.12,170.91,172.08,170.81,0.76%,"5,580,040"
16-Aug-24,170,170.92,170,170.78,169.52,0.24%,"3,454,702"
15-Aug-24,169.77,170.64,169.33,170.37,169.11,1.36%,"6,926,684"
14-Aug-24,168.02,168.56,167.6,168.09,166.85,0.21%,"4,156,246"
13-Aug-24,166.65,167.96,166.11,167.74,166.5,1.14%,"4,208,403"
12-Aug-24,166.7,166.88,165.52,165.85,164.63,-0.48%,"5,633,656"
9-Aug-24,166.44,167.13,165.16,166.65,165.42,0.21%,"3,650,032"
8-Aug-24,164.15,166.45,163.88,166.3,165.07,1.81%,"6,628,630"
7-Aug-24,166.08,166.98,163.24,163.34,162.13,-0.71%,"5,938,450"
6-Aug-24,163.34,166.55,163.01,164.5,163.29,1.03%,"8,774,625"
5-Aug-24,163.42,164.59,161.8,162.83,161.63,-2.36%,"13,747,649"
2-Aug-24,168.23,168.41,165.1,166.77,165.54,-1.72%,"11,666,272"
1-Aug-24,171.9,172.71,168.78,169.69,168.44,-1.11%,"10,567,908"
31-Jul-24,172.01,173.08,171.09,171.6,170.33,0.47%,"9,957,535"
30-Jul-24,170.64,171.31,169.94,170.79,169.53,0.48%,"7,333,112"
29-Jul-24,170.14,170.39,169.17,169.97,168.72,0.14%,"5,737,766"
26-Jul-24,168.62,170.28,168.35,169.74,168.49,1.43%,"7,472,302"
25-Jul-24,167.2,169.68,166.85,167.35,166.11,0.12%,"10,680,430"
24-Jul-24,168.81,169.23,166.98,167.15,165.92,-1.17%,"8,066,992"
23-Jul-24,169.42,169.84,169.02,169.13,167.88,-0.35%,"5,344,293"
