Date,Open,High,Low,Close,Adj. Close,Change,Volume
27-Dec-24,27.45,27.66,27.33,27.47,27.47,-0.43%,"15,173,320"
26-Dec-24,27.48,27.62,27.42,27.59,27.59,0.04%,"14,137,693"
24-Dec-24,27.35,27.58,27.29,27.58,27.58,0.77%,"9,522,506"
23-Dec-24,27.23,27.39,27.08,27.37,27.37,0.29%,"22,013,796"
20-Dec-24,26.9,27.41,26.87,27.29,27.29,1.34%,"35,339,507"
19-Dec-24,27.24,27.36,26.91,26.93,26.93,-0.55%,"22,797,673"
18-Dec-24,27.8,27.84,27.05,27.08,27.08,-2.62%,"20,343,971"
17-Dec-24,27.83,27.93,27.71,27.81,27.81,-0.22%,"17,417,910"
16-Dec-24,28.12,28.16,27.85,27.87,27.87,-0.92%,"24,794,000"
13-Dec-24,28.18,28.21,28,28.13,28.13,-0.25%,"16,919,650"
12-Dec-24,28.29,28.31,28.15,28.2,28.2,-0.18%,"14,370,717"
11-Dec-24,28.49,28.49,28.24,28.25,28.25,-1.50%,"15,896,091"
10-Dec-24,28.79,28.85,28.57,28.68,28.41,-0.38%,"17,528,950"
9-Dec-24,28.9,29.01,28.76,28.79,28.52,-0.10%,"19,540,740"
6-Dec-24,28.99,29.04,28.76,28.82,28.55,-0.45%,"12,671,878"
5-Dec-24,28.96,29.05,28.91,28.95,28.68,0.03%,"12,749,245"
4-Dec-24,29.14,29.19,28.82,28.94,28.67,-0.82%,"16,023,901"
3-Dec-24,29.37,29.4,29.17,29.18,28.91,-0.55%,"13,097,852"
2-Dec-24,29.53,29.55,29.21,29.34,29.07,-0.64%,"15,555,664"
29-Nov-24,29.49,29.58,29.44,29.53,29.26,0.31%,"7,670,542"
27-Nov-24,29.52,29.62,29.41,29.44,29.17,-0.03%,"10,547,529"
26-Nov-24,29.48,29.48,29.24,29.45,29.18,-0.20%,"11,306,606"
25-Nov-24,29.54,29.72,29.45,29.51,29.24,0.55%,"12,321,533"
22-Nov-24,29.01,29.38,29.01,29.35,29.08,1.28%,"12,227,558"
21-Nov-24,28.74,29.04,28.68,28.98,28.71,0.94%,"11,132,514"
20-Nov-24,28.65,28.73,28.5,28.71,28.44,0.24%,"9,201,473"
19-Nov-24,28.63,28.72,28.48,28.64,28.37,-0.52%,"11,657,515"
18-Nov-24,28.68,28.84,28.64,28.79,28.52,0.56%,"11,095,000"
15-Nov-24,28.81,28.83,28.58,28.63,28.36,-0.87%,"12,549,310"
14-Nov-24,29.03,29.04,28.84,28.88,28.61,-0.45%,"8,902,251"
13-Nov-24,28.97,29.05,28.87,29.01,28.74,0.35%,"10,503,026"
12-Nov-24,29.19,29.2,28.89,28.91,28.64,-0.86%,"13,235,521"
11-Nov-24,29.22,29.35,29.14,29.16,28.89,0.28%,"11,164,689"
8-Nov-24,29.01,29.14,28.9,29.08,28.81,0.59%,"11,674,009"
7-Nov-24,29.1,29.11,28.87,28.91,28.64,-0.45%,"13,223,313"
6-Nov-24,29.01,29.12,28.79,29.04,28.77,2.33%,"16,061,119"
5-Nov-24,28.15,28.38,28.07,28.38,28.12,0.89%,"10,098,146"
4-Nov-24,28.15,28.25,28.03,28.13,27.87,0.11%,"10,761,013"
1-Nov-24,28.3,28.38,28.07,28.1,27.84,-0.46%,"9,373,950"
31-Oct-24,28.19,28.38,28.19,28.23,27.97,0.18%,"10,905,231"
30-Oct-24,28.05,28.27,28.02,28.18,27.92,0.32%,"10,503,880"
29-Oct-24,28.18,28.21,28.06,28.09,27.83,-0.81%,"10,209,740"
