Date,Open,High,Low,Close,Adj. Close,Change,Volume
27-Dec-24,597.54,597.78,590.77,595.01,595.01,-1.05%,"64,969,310"
26-Dec-24,599.5,602.48,598.08,601.34,601.34,0.01%,"41,338,891"
24-Dec-24,596.06,601.34,595.47,601.3,601.3,1.11%,"33,160,097"
23-Dec-24,590.89,595.3,587.66,594.69,594.69,0.60%,"57,635,828"
20-Dec-24,581.77,595.75,580.91,591.15,591.15,0.86%,"125,716,674"
19-Dec-24,591.36,593,585.85,586.1,584.16,-0.03%,"85,919,452"
18-Dec-24,603.98,606.41,585.89,586.28,584.34,-2.98%,"108,248,729"
17-Dec-24,604.19,605.17,602.89,604.29,602.29,-0.41%,"55,773,545"
16-Dec-24,606,607.78,605.21,606.79,604.78,0.43%,"43,695,179"
13-Dec-24,606.4,607.13,602.81,604.21,602.21,-0.02%,"35,904,730"
12-Dec-24,606.58,607.16,604.33,604.33,602.33,-0.52%,"31,543,812"
11-Dec-24,605.78,608.44,605.5,607.46,605.45,0.77%,"28,677,723"
10-Dec-24,605.37,605.8,602.13,602.8,600.8,-0.31%,"37,234,515"
9-Dec-24,607.69,607.86,604.08,604.68,602.68,-0.51%,"34,742,738"
6-Dec-24,607.44,609.07,607.02,607.81,605.8,0.19%,"31,241,549"
5-Dec-24,607.66,608.48,606.31,606.66,604.65,-0.16%,"28,762,183"
4-Dec-24,605.63,607.91,604.95,607.66,605.65,0.62%,"42,787,561"
3-Dec-24,603.39,604.16,602.34,603.91,601.91,0.05%,"26,906,629"
2-Dec-24,602.97,604.32,602.47,603.63,601.63,0.18%,"31,745,989"
29-Nov-24,599.66,603.35,599.38,602.55,600.55,0.62%,"30,095,740"
27-Nov-24,600.46,600.85,597.28,598.83,596.85,-0.30%,"34,000,163"
26-Nov-24,598.8,601.33,598.07,600.65,598.66,0.52%,"45,621,288"
25-Nov-24,599.52,600.86,595.2,597.53,595.55,0.34%,"42,441,393"
22-Nov-24,593.66,596.15,593.15,595.51,593.54,0.31%,"38,226,390"
21-Nov-24,593.4,595.12,587.45,593.67,591.7,0.54%,"46,750,285"
20-Nov-24,590.38,590.79,584.63,590.5,588.54,0.03%,"50,032,576"
19-Nov-24,584.71,591.05,584.03,590.3,588.34,0.37%,"49,412,046"
18-Nov-24,586.22,589.49,585.34,588.15,586.2,0.41%,"37,084,081"
15-Nov-24,589.72,590.2,583.86,585.75,583.81,-1.28%,"75,988,766"
14-Nov-24,597.32,597.81,592.65,593.35,591.38,-0.64%,"38,904,109"
13-Nov-24,597.37,599.23,594.96,597.19,595.21,0.05%,"47,388,640"
12-Nov-24,598.68,599.29,594.37,596.9,594.92,-0.31%,"43,006,128"
11-Nov-24,599.81,600.17,597,598.76,596.78,0.10%,"37,586,773"
8-Nov-24,596.17,599.64,596.17,598.19,596.21,0.43%,"46,444,893"
7-Nov-24,593.08,596.65,593,595.61,593.64,0.77%,"47,233,212"
6-Nov-24,589.2,591.93,585.39,591.04,589.08,2.49%,"68,181,968"
5-Nov-24,570.74,576.74,570.52,576.7,574.79,1.21%,"39,478,322"
4-Nov-24,571.18,572.5,567.89,569.81,567.92,-0.22%,"38,216,975"
1-Nov-24,571.32,575.55,570.62,571.04,569.15,0.42%,"45,667,533"
