Date,Open,High,Low,Close,Adj. Close,Change,Volume
27-Dec-24,267.88,268.86,265.38,266.81,266.81,-0.85%,"634,748"
26-Dec-24,268.31,269.56,267.53,269.11,269.11,0.02%,"692,069"
24-Dec-24,266.96,269.12,266.48,269.06,269.06,0.86%,"428,763"
23-Dec-24,266.29,266.94,264.28,266.77,266.77,-0.43%,"691,557"
20-Dec-24,263.05,269.45,262.8,267.92,266.83,1.60%,"1,060,971"
19-Dec-24,266.27,267.83,263.71,263.71,262.63,-0.22%,"966,741"
18-Dec-24,273.75,273.97,264.26,264.29,263.21,-3.38%,"709,144"
17-Dec-24,274.85,275.23,273.22,273.54,272.42,-0.83%,"585,531"
16-Dec-24,276.71,277.6,275.68,275.82,274.7,-0.22%,"486,798"
13-Dec-24,277.81,277.81,275.85,276.42,275.29,-0.39%,"481,225"
12-Dec-24,278.66,279.01,277.43,277.51,276.38,-0.41%,"578,137"
11-Dec-24,279.27,279.47,278.23,278.66,277.52,0.36%,"416,112"
10-Dec-24,280.2,280.2,277.37,277.67,276.54,-0.99%,"543,740"
9-Dec-24,284.15,284.15,280.36,280.44,279.3,-1.06%,"591,867"
6-Dec-24,284.37,284.83,283.14,283.44,282.28,0.17%,"385,134"
5-Dec-24,284.58,284.98,282.87,282.97,281.82,-0.49%,"421,406"
4-Dec-24,284.16,284.35,282.95,284.35,283.19,0.45%,"1,219,378"
3-Dec-24,283.71,284.02,282.61,283.09,281.94,-0.18%,"576,663"
2-Dec-24,285.03,285.13,283.02,283.59,282.43,-0.37%,"527,077"
29-Nov-24,284.77,285.38,284.53,284.63,283.47,0.25%,"226,935"
27-Nov-24,284.7,285.6,283.42,283.91,282.75,-0.04%,"448,136"
26-Nov-24,283.56,284.33,282.89,284.03,282.87,0.02%,"452,602"
25-Nov-24,284.09,285.34,283.36,283.96,282.8,0.75%,"577,416"
22-Nov-24,279.99,282.13,279.94,281.84,280.69,0.92%,"1,240,528"
21-Nov-24,277.25,279.87,275.93,279.28,278.14,1.37%,"665,283"
20-Nov-24,275.1,275.78,273.11,275.51,274.39,0.33%,"1,175,087"
19-Nov-24,271.6,274.84,271.48,274.6,273.48,0.31%,"918,404"
18-Nov-24,272.72,274.42,272.13,273.74,272.62,0.52%,"606,055"
15-Nov-24,273.36,274.12,271.7,272.32,271.21,-0.60%,"495,917"
14-Nov-24,276.62,276.75,273.74,273.96,272.84,-0.93%,"582,192"
13-Nov-24,277.61,278.53,276.19,276.54,275.41,-0.08%,"549,862"
12-Nov-24,277.97,278.57,275.77,276.77,275.64,-0.68%,"499,547"
11-Nov-24,277.95,279.67,277.67,278.66,277.52,0.71%,"496,491"
8-Nov-24,274.57,277.1,274.3,276.7,275.57,0.77%,"581,803"
7-Nov-24,274.58,275.26,273.58,274.59,273.47,0.33%,"758,818"
6-Nov-24,273.94,273.94,270.61,273.7,272.58,2.63%,"837,529"
5-Nov-24,263.03,266.74,262.72,266.69,265.6,1.57%,"420,427"
4-Nov-24,262.31,263.93,261.82,262.58,261.51,-0.03%,"1,322,684"
1-Nov-24,264.04,265.43,262.44,262.65,261.58,-0.02%,"481,666"
31-Oct-24,264.99,265.57,262.7,262.71,261.64,-1.17%,"1,116,609"
30-Oct-24,265.63,267.57,265.49,265.83,264.75,-0.09%,"437,382"
29-Oct-24,265.76,266.94,265.11,266.06,264.98,-0.24%,"948,442"
28-Oct-24,266.46,267.43,266.38,266.7,265.61,0.60%,"402,442"
25-Oct-24,267.57,267.98,264.79,265.11,264.03,-0.40%,"585,503"
24-Oct-24,266.81,267.33,265.46,266.18,265.09,0.09%,"969,498"
23-Oct-24,265.84,267.04,264.39,265.95,264.87,-0.31%,"763,590"
22-Oct-24,266.89,267.53,265.59,266.77,265.68,-0.61%,"398,286"
21-Oct-24,270.02,270.4,267.61,268.42,267.33,-0.70%,"354,081"
18-Oct-24,270.1,270.46,268.69,270.32,269.22,0.38%,"309,143"
17-Oct-24,270.58,270.79,269.09,269.31,268.21,-0.16%,"382,525"
16-Oct-24,268.49,269.94,268.15,269.74,268.64,0.69%,"402,359"
15-Oct-24,268.97,270.2,267.61,267.9,266.81,-0.32%,"473,268"
14-Oct-24,267.04,268.98,266.36,268.76,267.66,0.79%,"291,063"
