Date,Open,High,Low,Close,Adj. Close,Change,Volume
27-Dec-24,549.37,549.62,543.2,547.08,547.08,-1.04%,"7,041,397"
26-Dec-24,551.2,553.97,549.92,552.81,552.81,-,"4,496,268"
24-Dec-24,548.06,552.9,547.54,552.82,552.82,1.03%,"3,439,250"
23-Dec-24,543.31,547.36,540.32,547.19,547.19,0.39%,"7,063,355"
20-Dec-24,536.61,549.54,535.85,545.04,543.31,1.13%,"9,389,413"
19-Dec-24,543.69,545.1,538.65,538.94,537.23,-0.04%,"16,792,125"
18-Dec-24,555.3,557.53,538.53,539.14,537.43,-2.94%,"24,584,930"
17-Dec-24,555.47,556.39,554.29,555.45,553.69,-0.42%,"6,110,880"
16-Dec-24,557.13,558.8,556.42,557.79,556.02,0.39%,"22,846,779"
13-Dec-24,557.51,558.16,554.2,555.61,553.85,-0.01%,"4,666,863"
12-Dec-24,557.67,558.2,555.62,555.65,553.89,-0.52%,"4,048,602"
11-Dec-24,556.92,559.39,556.66,558.53,556.76,0.76%,"3,514,417"
10-Dec-24,556.58,556.88,553.57,554.33,552.57,-0.28%,"4,110,113"
9-Dec-24,558.71,558.87,555.38,555.91,554.15,-0.52%,"4,412,276"
6-Dec-24,558.47,559.96,558.08,558.82,557.05,0.20%,"5,134,880"
5-Dec-24,558.63,559.41,557.46,557.71,555.94,-0.17%,"3,021,561"
4-Dec-24,556.83,558.88,556.17,558.64,556.87,0.63%,"5,490,321"
3-Dec-24,554.8,555.43,553.79,555.14,553.38,0.02%,"4,202,906"
2-Dec-24,554.36,555.57,553.89,555.01,553.25,0.28%,"5,441,011"
29-Nov-24,551.29,554.7,551.07,553.45,551.7,0.53%,"3,981,847"
27-Nov-24,552.04,552.38,549.11,550.55,548.81,-0.32%,"3,312,219"
26-Nov-24,550.5,552.82,549.85,552.31,550.56,0.56%,"4,438,574"
25-Nov-24,551.2,552.38,547.2,549.23,547.49,0.32%,"4,305,001"
22-Nov-24,545.82,548.05,545.37,547.47,545.74,0.34%,"5,574,588"
21-Nov-24,545.58,547.07,540.04,545.64,543.91,0.50%,"4,530,619"
20-Nov-24,542.78,543.07,537.44,542.9,541.18,0.04%,"3,949,060"
19-Nov-24,537.5,543.37,536.9,542.7,540.98,0.36%,"6,978,373"
18-Nov-24,538.92,541.93,538.15,540.73,539.02,0.41%,"4,504,246"
15-Nov-24,542.13,542.57,536.75,538.5,536.8,-1.29%,"7,360,114"
14-Nov-24,549.1,549.57,544.88,545.54,543.81,-0.64%,"3,940,282"
13-Nov-24,549.16,550.88,546.97,549.03,547.29,0.05%,"3,701,570"
12-Nov-24,550.39,550.94,546.43,548.75,547.01,-0.30%,"4,818,613"
11-Nov-24,551.43,551.73,548.85,550.4,548.66,0.08%,"4,893,129"
8-Nov-24,548.07,551.24,548.06,549.95,548.21,0.44%,"6,797,976"
7-Nov-24,545.22,548.48,545.15,547.53,545.8,0.78%,"6,051,276"
6-Nov-24,541.65,544.14,538.17,543.3,541.58,2.49%,"7,483,337"
5-Nov-24,524.72,530.17,524.48,530.1,528.42,1.20%,"3,300,279"
4-Nov-24,525.06,526.28,522.03,523.8,522.14,-0.22%,"3,681,461"
1-Nov-24,525.16,529.08,524.54,524.94,523.28,0.43%,"6,106,942"
31-Oct-24,529.09,529.23,522.51,522.67,521.02,-1.97%,"7,972,774"
30-Oct-24,534.35,536.2,532.59,533.16,531.47,-0.30%,"3,067,015"
29-Oct-24,533.12,535.82,531.75,534.77,533.08,0.16%,"3,027,611"
28-Oct-24,535.53,535.57,533.67,533.92,532.23,0.31%,"3,407,971"
25-Oct-24,534.65,537.26,531.41,532.26,530.57,-0.04%,"4,327,190"
24-Oct-24,533.17,533.18,530.04,532.47,530.78,0.23%,"4,477,762"
23-Oct-24,534.28,534.72,528.02,531.27,529.59,-0.91%,"5,227,754"
22-Oct-24,534.11,537.28,533.47,536.16,534.46,-0.07%,"3,366,595"
21-Oct-24,536.72,537.61,533.71,536.53,534.83,-0.15%,"3,671,431"
18-Oct-24,536.9,538.1,535.56,537.36,535.66,0.38%,"5,070,412"
17-Oct-24,538.62,538.76,535.15,535.3,533.61,0.01%,"3,225,297"
16-Oct-24,532.93,535.73,532.22,535.22,533.53,0.42%,"3,237,216"
15-Oct-24,537.38,537.61,531.82,532.98,531.29,-0.76%,"4,811,330"
14-Oct-24,534.25,537.98,533.97,537.07,535.37,0.82%,"2,638,929"
11-Oct-24,529.5,533.43,529.39,532.71,531.02,0.59%,"5,429,168"
10-Oct-24,529.27,530.9,528.09,529.56,527.88,-0.17%,"3,637,633"
9-Oct-24,526.87,531.03,526.31,530.45,528.77,0.68%,"2,941,785"
8-Oct-24,524.32,527.38,523.5,526.85,525.18,0.95%,"2,626,667"
7-Oct-24,525.14,525.72,520.81,521.91,520.26,-0.90%,"3,970,505"
4-Oct-24,526.16,527.02,522.3,526.65,524.98,0.92%,"5,358,175"
3-Oct-24,521.56,523.76,519.82,521.84,520.19,-0.19%,"4,007,952"
2-Oct-24,521.85,523.85,519.58,522.83,521.17,0.02%,"3,270,583"
1-Oct-24,527.04,527.1,520.23,522.74,521.08,-0.93%,"9,198,657"
30-Sep-24,524.32,527.96,522.19,527.67,526,0.44%,"8,017,349"
27-Sep-24,527.09,527.77,524.32,525.38,523.72,-0.44%,"5,598,594"
26-Sep-24,529.67,529.92,525.49,527.7,524.39,0.40%,"5,273,915"
25-Sep-24,526.61,527.3,524.65,525.61,522.32,-0.20%,"35,418,049"
24-Sep-24,526.01,526.84,523.38,526.68,523.38,0.29%,"4,650,608"
23-Sep-24,525,525.83,523.83,525.17,521.88,0.25%,"29,289,155"
20-Sep-24,523.51,524.92,521.12,523.88,520.6,-0.20%,"5,612,678"
19-Sep-24,524.88,526.6,522.19,524.91,521.62,1.74%,"5,558,371"
18-Sep-24,518.18,522.73,515.47,515.91,512.68,-0.32%,"6,921,278"
17-Sep-24,519.44,520.74,515.5,517.59,514.35,0.05%,"8,149,957"
16-Sep-24,516.34,517.59,514.65,517.35,514.11,0.15%,"4,256,253"
13-Sep-24,514.43,517.53,514.23,516.57,513.33,0.53%,"4,416,641"
12-Sep-24,510.09,514.14,508.06,513.84,510.62,0.86%,"4,099,538"
11-Sep-24,504.31,510.44,496.25,509.46,506.27,1.02%,"4,945,832"
10-Sep-24,503.95,504.71,499.5,504.3,501.14,0.41%,"2,975,385"
9-Sep-24,500.6,503.37,498.75,502.23,499.08,1.13%,"3,656,797"
6-Sep-24,505.34,506.94,495.8,496.64,493.53,-1.67%,"7,411,439"
5-Sep-24,506.36,508.94,502.84,505.05,501.89,-0.25%,"3,425,569"
4-Sep-24,505.68,509.53,505.02,506.3,503.13,-0.25%,"3,568,039"
3-Sep-24,515.12,515.43,505.1,507.56,504.38,-2.02%,"5,866,441"
30-Aug-24,515.42,518.58,512.12,518.04,514.79,0.94%,"5,637,725"
29-Aug-24,514.99,518.09,512.13,513.21,509.99,0.02%,"3,487,145"
28-Aug-24,515.8,516.23,510.16,513.13,509.92,-0.57%,"3,940,428"
27-Aug-24,514.26,516.59,513.16,516.08,512.85,0.13%,"3,031,778"
26-Aug-24,517.64,518.29,513.88,515.39,512.16,-0.25%,"3,398,640"
23-Aug-24,514.33,517.55,512.25,516.66,513.42,1.08%,"5,102,791"
22-Aug-24,517.05,517.63,510.1,511.13,507.93,-0.81%,"3,677,087"
21-Aug-24,514.47,516.66,512.85,515.3,512.07,0.35%,"3,344,050"
