Date,Open,High,Low,Close,Adj. Close,Change,Volume
27-Dec-24,295.33,295.93,291.99,294.07,294.07,-1.08%,"3,623,610"
26-Dec-24,296.44,297.78,295.54,297.29,297.29,0.06%,"4,309,083"
24-Dec-24,294.57,297.17,294.25,297.12,297.12,1.06%,"2,642,219"
23-Dec-24,292.53,294.19,290.54,294,294,0.25%,"3,704,509"
20-Dec-24,288.61,295.71,288.11,293.28,292.34,1.14%,"3,836,973"
19-Dec-24,292.99,293.7,289.87,289.98,289.06,-0.14%,"4,826,208"
18-Dec-24,299.76,300.53,289.95,290.39,289.46,-3.09%,"3,890,871"
17-Dec-24,299.96,300.18,299,299.66,298.7,-0.49%,"3,059,944"
16-Dec-24,300.57,301.75,300.43,301.15,300.19,0.41%,"2,545,400"
13-Dec-24,301,301.28,299.1,299.93,298.97,-0.05%,"2,279,188"
12-Dec-24,301.48,301.55,300.04,300.08,299.12,-0.57%,"2,119,999"
11-Dec-24,301,302.29,300.86,301.8,300.84,0.80%,"2,235,306"
10-Dec-24,301,301,299.07,299.39,298.44,-0.38%,"2,557,081"
9-Dec-24,302.53,302.65,300.33,300.52,299.56,-0.64%,"2,953,904"
6-Dec-24,302.31,302.95,302.02,302.45,301.49,0.28%,"2,332,856"
5-Dec-24,302.6,302.75,301.52,301.61,300.65,-0.28%,"2,183,413"
4-Dec-24,301.48,302.6,301.17,302.45,301.49,0.67%,"3,258,052"
3-Dec-24,300.38,300.57,299.64,300.43,299.47,-,"2,101,218"
2-Dec-24,300.3,300.75,299.8,300.43,299.47,0.19%,"3,583,654"
29-Nov-24,298.94,300.38,298.71,299.86,298.9,0.56%,"1,811,688"
27-Nov-24,299.13,299.47,297.4,298.2,297.25,-0.28%,"2,730,493"
26-Nov-24,298.43,299.39,297.87,299.05,298.1,0.37%,"3,292,833"
25-Nov-24,298.67,299.47,296.9,297.96,297.01,0.49%,"3,384,633"
22-Nov-24,295.13,296.81,295.13,296.51,295.56,0.49%,"2,639,817"
21-Nov-24,294.53,295.77,291.95,295.05,294.11,0.70%,"2,560,659"
20-Nov-24,292.92,293.16,290.14,293,292.07,0.06%,"2,670,801"
19-Nov-24,289.9,293.09,289.45,292.83,291.9,0.46%,"2,342,168"
18-Nov-24,290.64,292.24,290.13,291.49,290.56,0.41%,"2,992,125"
15-Nov-24,292.51,292.61,289.35,290.31,289.38,-1.27%,"4,025,769"
14-Nov-24,296.5,296.61,293.72,294.04,293.1,-0.74%,"3,280,837"
13-Nov-24,296.8,297.55,295.62,296.23,295.29,-0.05%,"2,829,056"
12-Nov-24,297.42,297.78,295.09,296.37,295.42,-0.39%,"3,474,754"
