Date,Open,High,Low,Close,Adj. Close,Change,Volume
27-Dec-24,239.07,239.38,235.15,237.49,237.49,-1.33%,"4,253,522"
26-Dec-24,239.76,241.57,238.99,240.69,240.69,0.07%,"3,575,488"
24-Dec-24,238.92,240.54,238.56,240.53,240.53,1.03%,"2,326,657"
23-Dec-24,236.25,238.17,234.99,238.07,238.07,0.89%,"3,986,660"
20-Dec-24,230.91,237.86,230.19,235.96,235.58,1.49%,"7,462,446"
19-Dec-24,234.6,235.36,232.19,232.49,232.11,0.11%,"6,692,897"
18-Dec-24,240.79,241.45,231.7,232.24,231.86,-3.23%,"8,463,578"
17-Dec-24,239.73,240.92,238.81,239.98,239.59,-0.60%,"4,072,452"
16-Dec-24,239.36,241.65,238.85,241.44,241.05,1.00%,"4,721,635"
13-Dec-24,240.18,241.12,237.15,239.05,238.66,0.43%,"4,338,455"
12-Dec-24,237.84,238.91,237.26,238.03,237.65,-0.56%,"3,609,195"
11-Dec-24,237.82,240.13,237,239.37,238.98,1.45%,"4,344,770"
10-Dec-24,238.46,239.11,235.2,235.95,235.57,-1.39%,"5,617,497"
9-Dec-24,239.94,240.8,238.66,239.27,238.88,-0.65%,"4,016,243"
6-Dec-24,240.33,241.88,240.07,240.84,240.45,0.39%,"3,327,417"
5-Dec-24,240.75,241.03,239.58,239.91,239.52,-0.51%,"2,818,968"
4-Dec-24,239.76,241.25,239.06,241.13,240.74,1.83%,"5,420,289"
3-Dec-24,234.95,236.86,234.49,236.8,236.42,0.36%,"2,787,954"
2-Dec-24,233.9,236.83,233.84,235.95,235.57,0.95%,"4,699,113"
29-Nov-24,232.12,234.22,231.89,233.73,233.35,0.93%,"2,084,070"
27-Nov-24,233.17,233.31,229.53,231.58,231.21,-1.35%,"3,184,662"
26-Nov-24,234.65,235.49,233.76,234.76,234.38,0.50%,"3,114,958"
25-Nov-24,235.36,235.77,232.53,233.59,233.21,-,"5,568,644"
22-Nov-24,233.06,234.14,232.22,233.6,233.22,0.05%,"3,545,419"
21-Nov-24,233.37,234.57,229.8,233.48,233.1,1.02%,"5,295,868"
20-Nov-24,231.53,231.61,228.05,231.13,230.76,-0.09%,"4,437,399"
19-Nov-24,228.01,231.52,228.01,231.33,230.96,0.82%,"3,453,400"
